productName,productDescription,grams,calories,proteins,fats,carbs,ingredients,unit_price,categoryName
"Круассан с ветчиной и сыром","Воздушный круассан с аппетитной начинкой","481","261.4","19.3","21.3","19.6","Макароны Сахар Перец","154.12","Фастфуд"
"Борщ с говядиной","Наваристый борщ с мягкой говядиной","215","229.5","26.9","11.1","17.3","Макароны Яйца Лук Курица Мука пшеничная","919.88","Фастфуд"
"Том-ям с креветками","Острый таиландский суп с морепродуктами","137","365.8","2.0","28.3","47.0","Перец Макароны Рис Молоко Картофель","274.77","Салаты"
"Спагетти Болоньезе","Классическая паста с мясным соусом","340","297.1","14.8","6.3","29.7","Масло подсолнечное Яйца Огурцы Картофель","402.78","Здоровое питание"
"Ролл Филадельфия","Популярный роллы с лососем и сливочным сыром","105","217.5","6.6","26.6","10.8","Говядина Мука пшеничная Огурцы Чеснок","711.00",""
"Шашлык из свинины","Сочный шашлык из свежей свинины","220","256.1","25.7","8.4","15.2","Картофель Мука пшеничная Макароны Яйца Говядина Курица Перец","75.04","Популярное"
"Тирамису","Нежный итальянский десерт с кофейным вкусом","324","147.4","28.7","20.5","22.8","Курица Помидоры Масло подсолнечное Картофель","$350.40","Популярное"
"Карпаччо из говядины","Тонко нарезанная говядина с оливковым маслом","237","222.4","6.6","8.5","12.4","Сахар Мука пшеничная Рис","53.00","Салаты"
"Сырный суп с беконом","Насыщенный сырный суп с хрустящим беконом","303","117.5","28.7","12.5","13.6","Зелень Рис Макароны Помидоры Соль Масло подсолнечное Мука пшеничная","602.84","Напитки"
"Лазанья мясная","Аппетитная запеченная лазанья с мясом","332","395.3","6.5","19.7","13.4","Курица Макароны Огурцы","244.37","Фастфуд"
"Фалафель в пите","Вегетарианская закуска в мягкой пите","268","434.8","29.2","27.8","21.3","Яйца Огурцы Сыр","282.69","Салаты"
"Рыба по-средиземноморски","Рыбное блюдо в средиземноморском стиле","404","280.5","13.1","24.3","25.6","Масло подсолнечное Мука пшеничная Соль Говядина Макароны","334.17","Десерты"
Чизбургер с говяжьей котлетой и плавленым сыром «Грабли»,"Классический бургер с говяжьей котлетой, ломтиком сыра чеддер и маринованными огурцами в мягкой булочке с кунжутом. В составе есть лук и фирменный соус на основе майонеза и горчицы.",125,264,9.4,14.3,24.3,-,299,Фастфуд
Макароны с сырным соусом Mac&Cheese Карбонара с беконом,Макароны с сырным соусом и беконом быстро готовятся с молоком и сливочным маслом. Их можно разделить на две порции или съесть за раз,143,107,12.4,4.7,64.8,"Макаронные изделия (группа А высший сорт): мука из твёрдой пшеницы (дурум) для макаронных изделий высшего сорта, вода питьевая. Соус «Сырный Карбонара с беконом» быстрого приготовления: сырный продукт сухой (сыр с м. д. жиры в сухом веществе 50%, мальтодекстрин, эмульгирующая соль (Е339Н), соль, бекон сушёный, гидролизат соевого белка, натуральные ароматизаторы, перец черный, белый.",107,"Макароны, крупы и мука; Популярное"
Чикенбургер Двойной сыр,Классический бургер с сочной говяжьей котлетой,435,389.7,9.1,7.8,45.1,Перец Рис Соль Чеснок Яйца Огурцы Зелень,990.12,Популярное
Макароны с сыром Пармезан,Нежные макароны с аппетитным сырным соусом,454,378.2,11.7,14.0,54.0,Помидоры Чеснок Мука пшеничная Соль,413.54,Популярное
Цезарь с курицей,Свежий салат с хрустящими овощами и курицей,184,77.0,18.2,7.6,59.2,Курица Сахар Помидоры Рис Молоко,734.65,Салаты
Пицца Маргарита,Традиционная итальянская пицца с томатным соусом,481,454.7,6.4,20.0,63.7,Сахар Чеснок Курица Помидоры Молоко,594.11,Салаты
Салат Греческий,Легкий и полезный салат с морепродуктами,218,370.4,5.3,25.4,47.3,Картофель Яйца Сахар Говядина,abc334,Салаты
Суп-крем грибной,Нежный суп-крем с ароматными грибами,208,471.6,17.9,27.2,27.8,Рис Масло подсолнечное Помидоры Сыр Чеснок Лук,436.50,Фастфуд
Стейк из лосося,Сочный стейк из свежего лосося,437,332.0,13.9,19.5,34.1,Макароны Чеснок Сахар Перец Яйца,316.84,Фастфуд
"Чикенбургер Двойной сыр","Классический бургер с сочной говяжьей котлетой","429","246.2","5.4","25.7","30.3","Мука пшеничная Чеснок Картофель Огурцы Рис","57.44","Напитки"
"Макароны с сыром Пармезан","Нежные макароны с аппетитным сырным соусом","419","244.6","4.8","25.9","43.2","Курица Сахар Лук Рис Масло подсолнечное Мука пшеничная Говядина","140.38",""
"Цезарь с курицей","Свежий салат с хрустящими овощами и курицей","397","371.4","1.8","21.4","18.9","Масло подсолнечное Огурцы Помидоры Чеснок Зелень","@279.50","Напитки"
"Пицца Маргарита","Традиционная итальянская пицца с томатным соусом","241","347.8","26.6","24.9","10.2","Лук Сыр Сахар Помидоры Рис Картофель Чеснок","971.35","Здоровое питание"
"Салат Греческий","Легкий и полезный салат с морепродуктами","139","420.2","29.7","29.9","55.3","Перец Сахар Чеснок Лук","490.90","Макароны, крупы и мука"
"Суп-крем грибной","Нежный суп-крем с ароматными грибами","288","356.1","16.1","4.1","72.3","Масло подсолнечное Зелень Сахар Картофель Помидоры Перец Яйца","79.77","Фастфуд"
"Стейк из лосося","Сочный стейк из свежего лосося","186","457.7","28.3","11.2","27.4","Огурцы Масло подсолнечное Зелень","767.50","Фастфуд"
"Утиная ножка конфи","Изысканная утиная ножка с хрустящей корочкой","56","122.6","5.5","21.6","61.3","Рис Картофель Сахар","424.33","Здоровое питание"
"Круассан с ветчиной и сыром","Воздушный круассан с аппетитной начинкой","370","87.3","24.2","16.6","54.7","Молоко Мука пшеничная Курица Помидоры Чеснок Картофель Зелень","196.04","Здоровое питание"
"Борщ с говядиной","Наваристый борщ с мягкой говядиной","198","448.2","17.7","7.3","43.6","Рис Масло подсолнечное Молоко Курица Говядина Чеснок","370.45/шт",""
"Том-ям с креветками","Острый таиландский суп с морепродуктами","191","419.5","1.8","22.7","10.3","Молоко Курица Помидоры","253.46%","Фастфуд"
"Спагетти Болоньезе","Классическая паста с мясным соусом","325","472.9","23.1","16.1","68.7","Помидоры Сахар Огурцы Говядина Рис","129.42","Фастфуд"
"Ролл Филадельфия","Популярный роллы с лососем и сливочным сыром","136","191.4","24.2","23.5","73.8","Мука пшеничная Зелень Масло подсолнечное Макароны Сахар","729.18","Макароны, крупы и мука"
"Шашлык из свинины","Сочный шашлык из свежей свинины","443","455.7","17.7","21.7","73.7","Огурцы Яйца Помидоры","962.35","Горячие блюда"
"Тирамису","Нежный итальянский десерт с кофейным вкусом","150","415.0","18.6","2.8","23.7","Молоко Рис Масло подсолнечное","476.43","Напитки"
"Карпаччо из говядины","Тонко нарезанная говядина с оливковым маслом","287","236.0","25.2","23.3","45.1","Курица Зелень Мука пшеничная Яйца","735.49","Популярное"
"Сырный суп с беконом","Насыщенный сырный суп с хрустящим беконом","412","467.5","4.7","12.8","21.3","Сахар Сыр Говядина Яйца Зелень Огурцы Макароны","560.23","Напитки"
"Лазанья мясная","Аппетитная запеченная лазанья с мясом","443","492.0","5.5","18.5","51.8","Масло подсолнечное Говядина Рис Сахар Помидоры Чеснок","696.39","Макароны, крупы и мука"
"Фалафель в пите","Вегетарианская закуска в мягкой пите","271","325.7","25.8","3.0","64.4","Яйца Сыр Рис Помидоры Перец","TBD","Салаты"
"Рыба по-средиземноморски","Рыбное блюдо в средиземноморском стиле","117","487.6","1.9","13.3","26.3","Молоко Лук Перец Соль","914.50","Салаты"
Чизбургер с говяжьей котлетой и плавленым сыром «Грабли»,"Классический бургер с говяжьей котлетой, ломтиком сыра чеддер и маринованными огурцами в мягкой булочке с кунжутом. В составе есть лук и фирменный соус на основе майонеза и горчицы.",125,264,9.4,14.3,24.3,-,299,Фастфуд
Макароны с сырным соусом Mac&Cheese Карбонара с беконом,Макароны с сырным соусом и беконом быстро готовятся с молоком и сливочным маслом. Их можно разделить на две порции или съесть за раз,143,107,12.4,4.7,64.8,"Макаронные изделия (группа А высший сорт): мука из твёрдой пшеницы (дурум) для макаронных изделий высшего сорта, вода питьевая. Соус «Сырный Карбонара с беконом» быстрого приготовления: сырный продукт сухой (сыр с м. д. жиры в сухом веществе 50%, мальтодекстрин, эмульгирующая соль (Е339Н), соль, бекон сушёный, гидролизат соевого белка, натуральные ароматизаторы, перец черный, белый.",107,"Макароны, крупы и мука; Популярное"
Чикенбургер Двойной сыр,Классический бургер с сочной говяжьей котлетой,435,389.7,9.1,7.8,45.1,Перец Рис Соль Чеснок Яйца Огурцы Зелень,990.12,Популярное
Макароны с сыром Пармезан,Нежные макароны с аппетитным сырным соусом,454,378.2,11.7,14.0,54.0,Помидоры Чеснок Мука пшеничная Соль,413.54,Популярное
Цезарь с курицей,Свежий салат с хрустящими овощами и курицей,184,77.0,18.2,7.6,59.2,Курица Сахар Помидоры Рис Молоко,734.65,Салаты
Пицца Маргарита,Традиционная итальянская пицца с томатным соусом,481,454.7,6.4,20.0,63.7,Сахар Чеснок Курица Помидоры Молоко,594.11,Салаты
Салат Греческий,Легкий и полезный салат с морепродуктами,218,370.4,5.3,25.4,47.3,Картофель Яйца Сахар Говядина,abc334,Салаты
Суп-крем грибной,Нежный суп-крем с ароматными грибами,208,471.6,17.9,27.2,27.8,Рис Масло подсолнечное Помидоры Сыр Чеснок Лук,436.50,Фастфуд
Стейк из лосося,Сочный стейк из свежего лосося,437,332.0,13.9,19.5,34.1,Макароны Чеснок Сахар Перец Яйца,316.84,Фастфуд
"Чикенбургер Двойной сыр","Классический бургер с сочной говяжьей котлетой","125","490.0","23.5","27.3","35.1","Рис Мука пшеничная Лук Чеснок Говядина Яйца","613.03","Горячие блюда"
"Макароны с сыром Пармезан","Нежные макароны с аппетитным сырным соусом","196","465.8","29.2","21.2","20.1","Соль Сахар Перец Чеснок Масло подсолнечное Лук Сыр","699.79","Макароны, крупы и мука"
"Цезарь с курицей","Свежий салат с хрустящими овощами и курицей","55","424.2","24.0","13.1","58.0","Лук Сыр Зелень Масло подсолнечное Рис Соль Перец","238.25","Салаты"
"Пицца Маргарита","Традиционная итальянская пицца с томатным соусом","247","73.4","4.2","6.7","34.2","Помидоры Перец Сахар Макароны","256,29","Макароны, крупы и мука"
"Салат Греческий","Легкий и полезный салат с морепродуктами","369","62.1","18.8","18.2","28.9","Молоко Сыр Яйца Соль Перец Рис","862.94","Салаты"
"Суп-крем грибной","Нежный суп-крем с ароматными грибами","497","155.6","21.4","7.4","53.6","Зелень Чеснок Масло подсолнечное","67.34","Популярное"
"Стейк из лосося","Сочный стейк из свежего лосося","121","386.2","25.5","25.7","42.8","Молоко Зелень Чеснок Рис Сыр Курица","906.61","Салаты"
"Утиная ножка конфи","Изысканная утиная ножка с хрустящей корочкой","481","111.0","11.8","22.0","20.2","Зелень Сыр Сахар Масло подсолнечное Огурцы Картофель","491.37/шт","Макароны, крупы и мука"
"Круассан с ветчиной и сыром","Воздушный круассан с аппетитной начинкой","68","256.2","20.0","8.3","61.0","Чеснок Масло подсолнечное Соль","938.90","Десерты"
"Борщ с говядиной","Наваристый борщ с мягкой говядиной","462","331.3","3.2","27.6","21.2","Рис Соль Мука пшеничная Огурцы Масло подсолнечное","648.24 рублей","Горячие блюда"
"Том-ям с креветками","Острый таиландский суп с морепродуктами","82","453.7","4.4","8.5","75.9","Рис Перец Соль","$471.20","Макароны, крупы и мука"
"Спагетти Болоньезе","Классическая паста с мясным соусом","443","185.3","9.4","7.7","60.8","Сыр Чеснок Молоко Масло подсолнечное Сахар","879.26","Салаты"
"Ролл Филадельфия","Популярный роллы с лососем и сливочным сыром","367","385.8","25.4","9.6","27.6","Курица Рис Сыр Лук Говядина Перец Молоко","815.36","Фастфуд"
"Шашлык из свинины","Сочный шашлык из свежей свинины","169","329.1","23.4","7.3","66.3","Сыр Говядина Молоко Масло подсолнечное Огурцы Рис Макароны","978.79","Макароны, крупы и мука"
"Тирамису","Нежный итальянский десерт с кофейным вкусом","149","392.8","5.9","25.5","49.4","Яйца Чеснок Картофель Масло подсолнечное Сахар","725.64",""
"Карпаччо из говядины","Тонко нарезанная говядина с оливковым маслом","483","478.2","9.3","2.9","72.2","Картофель Яйца Молоко Соль Говядина Сахар","154.43","Здоровое питание"
"Сырный суп с беконом","Насыщенный сырный суп с хрустящим беконом","447","366.6","5.4","8.2","50.9","Яйца Сахар Огурцы","156,11",""
"Лазанья мясная","Аппетитная запеченная лазанья с мясом","455","274.4","8.8","12.3","22.4","Картофель Сахар Соль Говядина","355.05",""
"Фалафель в пите","Вегетарианская закуска в мягкой пите","117","352.7","2.8","7.1","34.2","Курица Яйца Чеснок Рис","236.89","Горячие блюда"
"Рыба по-средиземноморски","Рыбное блюдо в средиземноморском стиле","399","432.9","25.2","15.0","42.9","Помидоры Зелень Сыр Мука пшеничная Макароны Говядина Чеснок","236.59","Горячие блюда"
Чизбургер с говяжьей котлетой и плавленым сыром «Грабли»,"Классический бургер с говяжьей котлетой, ломтиком сыра чеддер и маринованными огурцами в мягкой булочке с кунжутом. В составе есть лук и фирменный соус на основе майонеза и горчицы.",125,264,9.4,14.3,24.3,-,299,Фастфуд
Макароны с сырным соусом Mac&Cheese Карбонара с беконом,Макароны с сырным соусом и беконом быстро готовятся с молоком и сливочным маслом. Их можно разделить на две порции или съесть за раз,143,107,12.4,4.7,64.8,"Макаронные изделия (группа А высший сорт): мука из твёрдой пшеницы (дурум) для макаронных изделий высшего сорта, вода питьевая. Соус «Сырный Карбонара с беконом» быстрого приготовления: сырный продукт сухой (сыр с м. д. жиры в сухом веществе 50%, мальтодекстрин, эмульгирующая соль (Е339Н), соль, бекон сушёный, гидролизат соевого белка, натуральные ароматизаторы, перец черный, белый.",107,"Макароны, крупы и мука; Популярное"
Чикенбургер Двойной сыр,Классический бургер с сочной говяжьей котлетой,435,389.7,9.1,7.8,45.1,Перец Рис Соль Чеснок Яйца Огурцы Зелень,990.12,Популярное
Макароны с сыром Пармезан,Нежные макароны с аппетитным сырным соусом,454,378.2,11.7,14.0,54.0,Помидоры Чеснок Мука пшеничная Соль,413.54,Популярное
Цезарь с курицей,Свежий салат с хрустящими овощами и курицей,184,77.0,18.2,7.6,59.2,Курица Сахар Помидоры Рис Молоко,734.65,Салаты
Пицца Маргарита,Традиционная итальянская пицца с томатным соусом,481,454.7,6.4,20.0,63.7,Сахар Чеснок Курица Помидоры Молоко,594.11,Салаты
Салат Греческий,Легкий и полезный салат с морепродуктами,218,370.4,5.3,25.4,47.3,Картофель Яйца Сахар Говядина,abc334,Салаты
Суп-крем грибной,Нежный суп-крем с ароматными грибами,208,471.6,17.9,27.2,27.8,Рис Масло подсолнечное Помидоры Сыр Чеснок Лук,436.50,Фастфуд
Стейк из лосося,Сочный стейк из свежего лосося,437,332.0,13.9,19.5,34.1,Макароны Чеснок Сахар Перец Яйца,316.84,Фастфуд
"Чикенбургер Двойной сыр","Классический бургер с сочной говяжьей котлетой","316","111.6","6.5","20.4","67.3","Чеснок Картофель Мука пшеничная Перец","367.25",""
"Макароны с сыром Пармезан","Нежные макароны с аппетитным сырным соусом","307","238.3","17.0","22.0","23.0","Зелень Курица Макароны Сахар Огурцы Молоко","145.30","Популярное"
"Цезарь с курицей","Свежий салат с хрустящими овощами и курицей","203","466.0","24.8","18.5","62.1","Сахар Огурцы Макароны Сыр Курица Лук","505.63","Макароны, крупы и мука"
"Пицца Маргарита","Традиционная итальянская пицца с томатным соусом","343","98.1","21.6","19.8","40.8","Огурцы Картофель Говядина Сыр","198.65","Десерты"
"Салат Греческий","Легкий и полезный салат с морепродуктами","219","163.5","17.4","21.6","77.2","Говядина Курица Сахар Зелень Помидоры","348.44","Напитки"
"Суп-крем грибной","Нежный суп-крем с ароматными грибами","71","66.5","25.6","14.2","13.4","Макароны Зелень Соль Огурцы Картофель","256.34","Напитки"
"Стейк из лосося","Сочный стейк из свежего лосося","91","315.9","29.0","3.9","77.4","Курица Сыр Сахар Молоко Чеснок","953.37!!!","Популярное"
"Утиная ножка конфи","Изысканная утиная ножка с хрустящей корочкой","254","491.5","23.2","28.8","76.0","Яйца Картофель Сахар","698.06",""
"Круассан с ветчиной и сыром","Воздушный круассан с аппетитной начинкой","265","445.1","26.6","13.3","53.7","Молоко Рис Яйца","973.18","Здоровое питание"
"Борщ с говядиной","Наваристый борщ с мягкой говядиной","382","78.1","12.6","11.9","59.6","Сахар Рис Курица Макароны Молоко Картофель","487.72","Напитки"
"Том-ям с креветками","Острый таиландский суп с морепродуктами","490","190.5","11.3","19.7","20.0","Сахар Курица Помидоры","684.19","Десерты"
"Спагетти Болоньезе","Классическая паста с мясным соусом","79","323.1","7.3","12.1","46.1","Курица Молоко Огурцы Масло подсолнечное Перец Макароны Соль","297.54","Десерты"
"Ролл Филадельфия","Популярный роллы с лососем и сливочным сыром","64","196.5","24.4","1.7","29.6","Сыр Яйца Огурцы","615.75","Популярное"
"Шашлык из свинины","Сочный шашлык из свежей свинины","178","57.6","22.7","22.4","11.5","Мука пшеничная Молоко Зелень Картофель","63.36","Здоровое питание"
"Тирамису","Нежный итальянский десерт с кофейным вкусом","442","217.8","15.3","6.7","45.6","Макароны Курица Мука пшеничная Зелень","994.61","Популярное"
"Карпаччо из говядины","Тонко нарезанная говядина с оливковым маслом","370","487.5","3.8","19.0","66.6","Говядина Сыр Яйца Картофель Чеснок Перец","868.57",""
"Сырный суп с беконом","Насыщенный сырный суп с хрустящим беконом","291","383.1","24.2","19.8","77.0","Яйца Сыр Соль Макароны Мука пшеничная","цена: 138.80","Горячие блюда"
"Лазанья мясная","Аппетитная запеченная лазанья с мясом","73","431.8","5.6","23.7","46.5","Соль Перец Зелень","970.43","Салаты"
"Фалафель в пите","Вегетарианская закуска в мягкой пите","499","115.5","25.0","7.6","56.6","Говядина Картофель Масло подсолнечное Сахар Молоко Рис","558.14","Популярное"
"Рыба по-средиземноморски","Рыбное блюдо в средиземноморском стиле","478","297.6","25.8","5.1","54.3","Масло подсолнечное Говядина Соль Сахар Рис","192.29","Напитки"
Чизбургер с говяжьей котлетой и плавленым сыром «Грабли»,"Классический бургер с говяжьей котлетой, ломтиком сыра чеддер и маринованными огурцами в мягкой булочке с кунжутом. В составе есть лук и фирменный соус на основе майонеза и горчицы.",125,264,9.4,14.3,24.3,-,299,Фастфуд
Макароны с сырным соусом Mac&Cheese Карбонара с беконом,Макароны с сырным соусом и беконом быстро готовятся с молоком и сливочным маслом. Их можно разделить на две порции или съесть за раз,143,107,12.4,4.7,64.8,"Макаронные изделия (группа А высший сорт): мука из твёрдой пшеницы (дурум) для макаронных изделий высшего сорта, вода питьевая. Соус «Сырный Карбонара с беконом» быстрого приготовления: сырный продукт сухой (сыр с м. д. жиры в сухом веществе 50%, мальтодекстрин, эмульгирующая соль (Е339Н), соль, бекон сушёный, гидролизат соевого белка, натуральные ароматизаторы, перец черный, белый.",107,"Макароны, крупы и мука; Популярное"
Чикенбургер Двойной сыр,Классический бургер с сочной говяжьей котлетой,435,389.7,9.1,7.8,45.1,Перец Рис Соль Чеснок Яйца Огурцы Зелень,990.12,Популярное
Макароны с сыром Пармезан,Нежные макароны с аппетитным сырным соусом,454,378.2,11.7,14.0,54.0,Помидоры Чеснок Мука пшеничная Соль,413.54,Популярное
Цезарь с курицей,Свежий салат с хрустящими овощами и курицей,184,77.0,18.2,7.6,59.2,Курица Сахар Помидоры Рис Молоко,734.65,Салаты
Пицца Маргарита,Традиционная итальянская пицца с томатным соусом,481,454.7,6.4,20.0,63.7,Сахар Чеснок Курица Помидоры Молоко,594.11,Салаты
Салат Греческий,Легкий и полезный салат с морепродуктами,218,370.4,5.3,25.4,47.3,Картофель Яйца Сахар Говядина,abc334,Салаты
Суп-крем грибной,Нежный суп-крем с ароматными грибами,208,471.6,17.9,27.2,27.8,Рис Масло подсолнечное Помидоры Сыр Чеснок Лук,436.50,Фастфуд
Стейк из лосося,Сочный стейк из свежего лосося,437,332.0,13.9,19.5,34.1,Макароны Чеснок Сахар Перец Яйца,316.84,Фастфуд
